date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:09:52	14629/14629	---M-Z	200	added ('OK')	text/html	date:Wed,%2017%20Apr%202024%2012:09:44%20GMT	https://www.sobczak.com.pl/realizacje/podlogi	D:/website/schody/www.sobczak.com.pl/realizacje/podlogi.html	(from https://www.sobczak.com.pl/realizacje)
13:09:52	4801/4801	---M--	200	added ('OK')	image/jpeg	etag:%2212c1-56eb1fda-262d456a18ac5a5e;;;%22	https://www.sobczak.com.pl/img/podlogi-mini.jpg	D:/website/schody/www.sobczak.com.pl/img/podlogi-mini.jpg	(from https://www.sobczak.com.pl/realizacje)
13:09:52	76945/76945	---M--	200	added ('OK')	image/jpeg	etag:%2212c91-56eb1fd4-ff49fbbeed455aca;;;%22	https://www.sobczak.com.pl/img/offer-nabeton-01.jpg	D:/website/schody/www.sobczak.com.pl/img/offer-nabeton-01.jpg	(from https://www.sobczak.com.pl/schody)
13:09:52	72910/72910	---M--	200	added ('OK')	image/jpeg	etag:%2211cce-56eb1fd5-b473d4b4a39d3172;;;%22	https://www.sobczak.com.pl/img/offer-nabeton-02.jpg	D:/website/schody/www.sobczak.com.pl/img/offer-nabeton-02.jpg	(from https://www.sobczak.com.pl/schody)
13:09:53	85149/85149	---M--	200	added ('OK')	image/jpeg	etag:%2214c9d-56eb1fd6-377a2811abdb9b5d;;;%22	https://www.sobczak.com.pl/img/offer-samonos-01.jpg	D:/website/schody/www.sobczak.com.pl/img/offer-samonos-01.jpg	(from https://www.sobczak.com.pl/schody)
13:09:53	84429/84429	---M--	200	added ('OK')	image/jpeg	etag:%22149cd-56eb1fd7-813c6f8b9d5f5aec;;;%22	https://www.sobczak.com.pl/img/offer-samonos-02.jpg	D:/website/schody/www.sobczak.com.pl/img/offer-samonos-02.jpg	(from https://www.sobczak.com.pl/schody)
13:09:53	130303/130303	---M--	200	added ('OK')	image/jpeg	etag:%221fcff-56eb1fd8-5de799256d1a1332;;;%22	https://www.sobczak.com.pl/img/offer-samonos-03.jpg	D:/website/schody/www.sobczak.com.pl/img/offer-samonos-03.jpg	(from https://www.sobczak.com.pl/schody)
13:09:53	51133/51133	---M--	200	added ('OK')	image/jpeg	etag:%22c7bd-56eb1fd9-af16deb60f7c6fb3;;;%22	https://www.sobczak.com.pl/img/offer-samonos-04.jpg	D:/website/schody/www.sobczak.com.pl/img/offer-samonos-04.jpg	(from https://www.sobczak.com.pl/schody)
13:09:53	89184/89184	---M--	200	added ('OK')	image/jpeg	etag:%2215c60-56eb1fd9-2fea5b38315f9bc7;;;%22	https://www.sobczak.com.pl/img/offer-samonos-05.jpg	D:/website/schody/www.sobczak.com.pl/img/offer-samonos-05.jpg	(from https://www.sobczak.com.pl/schody)
13:09:54	87164/87164	---M--	200	added ('OK')	image/jpeg	etag:%221547c-56eb1fda-e15e9fcb781cae8c;;;%22	https://www.sobczak.com.pl/img/offer-samonos-06.jpg	D:/website/schody/www.sobczak.com.pl/img/offer-samonos-06.jpg	(from https://www.sobczak.com.pl/schody)
13:09:54	56697/56697	---M--	200	added ('OK')	image/jpeg	etag:%22dd79-56eb1fd1-b71994c89e8b10dc;;;%22	https://www.sobczak.com.pl/img/offer-dodatki-01.jpg	D:/website/schody/www.sobczak.com.pl/img/offer-dodatki-01.jpg	(from https://www.sobczak.com.pl/schody)
13:09:54	29709/29709	---M--	200	added ('OK')	image/jpeg	etag:%22740d-56eb1fd2-fdda22e768570da0;;;%22	https://www.sobczak.com.pl/img/offer-dodatki-02.jpg	D:/website/schody/www.sobczak.com.pl/img/offer-dodatki-02.jpg	(from https://www.sobczak.com.pl/schody)
13:09:54	23593/23593	---M--	200	added ('OK')	image/jpeg	etag:%225c29-56eb1fd2-ee3913cba1376fd;;;%22	https://www.sobczak.com.pl/img/offer-ksztalt-listwy-01.jpg	D:/website/schody/www.sobczak.com.pl/img/offer-ksztalt-listwy-01.jpg	(from https://www.sobczak.com.pl/schody)
13:09:55	24740/24740	---M--	200	added ('OK')	image/jpeg	etag:%2260a4-56eb1fd2-71f8f37b1f6b4ab3;;;%22	https://www.sobczak.com.pl/img/offer-ksztalt-listwy-02.jpg	D:/website/schody/www.sobczak.com.pl/img/offer-ksztalt-listwy-02.jpg	(from https://www.sobczak.com.pl/schody)
13:09:55	95302/95302	---M--	200	added ('OK')	image/jpeg	etag:%2217446-585155ac-5db7273c7da2b188;;;%22	https://www.sobczak.com.pl/img/blog/001-wpis.jpg	D:/website/schody/www.sobczak.com.pl/img/blog/001-wpis.jpg	(from https://www.sobczak.com.pl/blog)
13:09:55	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2017%20Apr%202024%2012:09:47%20GMT	https://www.sobczak.com.pl/jakie-wybrac-schody-do-salonu.php	D:/website/schody/www.sobczak.com.pl/jakie-wybrac-schody-do-salonu.php	(from https://www.sobczak.com.pl/blog)
